"","INFO","title","surgical_arm","medical_arm","Outcome","orig_fx_type","k","tau","UWLS","Esigtot","SStot","ESS","TESS"
"1","CD000200.PUB2 Death or dependence at end of follow up Surgical decompression Dexamethasone, antihypertensives and intermittent diuresis","Surgery for primary supratentorial intracerebral haemorrhage","Surgical decompression","Dexamethasone, antihypertensives and intermittent diuresis","Death or dependence at end of follow up","OR",9,0.015045528923403,-0.192755049799829,0.0852266118979563,3,0.323863709789116,3.76971863770707
"2","CD001081.PUB4 Any stroke or operative death Aspirin and carotid surgery Aspirin","Carotid endarterectomy for symptomatic carotid stenosis","Aspirin and carotid surgery","Aspirin","Any stroke or operative death","RR",3,0,-0.109500561745805,0.0100060739411683,1,0.329997975352944,2.22519826960605
"3","CD001081.PUB4 Ipsilateral ischaemic stroke, and any operative stroke or death Aspirin and carotid surgery Aspirin","Carotid endarterectomy for symptomatic carotid stenosis","Aspirin and carotid surgery","Aspirin","Ipsilateral ischaemic stroke, and any operative stroke or death","RR",3,0.0288775759142208,-0.134834121901767,0.176950012006258,1,0.274349995997914,1.7829529740399
"4","CD001122.PUB5 Live birth Laparoscopic ovarian drilling Medical ovulation induction","Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome","Laparoscopic ovarian drilling","Medical ovulation induction","Live birth","OR",9,0,-0.190649833852879,0.0294589935924559,0,-0.00327322151027287,-0.733302912505695
"5","CD001122.PUB5 Multiple pregnancy Laparoscopic ovarian drilling Medical ovulation induction","Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome","Laparoscopic ovarian drilling","Medical ovulation induction","Multiple pregnancy","OR",14,0,-0.444571390703354,0.0910780657378721,1,0.0649229953044377,0.256196513554805
"6","CD001552.PUB2 Improvement in clinical symptoms at three months of follow‐up Open section of the carpal ligament NSAID and splinting or corticosteroid injections","Surgical versus non-surgical treatment for carpal tunnel syndrome","Open section of the carpal ligament","NSAID and splinting or corticosteroid injections","Improvement in clinical symptoms at three months of follow‐up","RR",2,0.862808872968982,0.186378325948095,0.742470228280606,1,0.128764885859697,0.511094068774493
"7","CD001802.PUB3 Episodes of moderate sore throat children Tonsillectomy or adrenotonsillectomy Watchful waiting with or without analgesics and antibiotics","Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis","Tonsillectomy or adrenotonsillectomy","Watchful waiting with or without analgesics and antibiotics","Episodes of moderate sore throat children","MD",4,0.646669606590525,0.84915030010079,2.8580210677909,3,0.0354947330522738,-0.13310945847204
"8","CD001802.PUB3 Episodes of sore throat of any severity adults Tonsillectomy or adrenotonsillectomy Watchful waiting with or without analgesics and antibiotics","Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis","Tonsillectomy or adrenotonsillectomy","Watchful waiting with or without analgesics and antibiotics","Episodes of sore throat of any severity adults","MD",2,0.0617507790041855,-1.11582580009235,4.78988114793744e-06,2,0.999997605059426,6.16439846254244
"9","CD001802.PUB3 Episodes of sore throat of any severity children Tonsillectomy or adrenotonsillectomy Watchful waiting with or without analgesics and antibiotics","Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis","Tonsillectomy or adrenotonsillectomy","Watchful waiting with or without analgesics and antibiotics","Episodes of sore throat of any severity children","MD",5,0.00938315423171869,-0.249333731511574,0.00770009250676762,2,0.398459981498646,3.57512397585605
"10","CD001802.PUB3 Sore throat days (including those immediately post surgery) children Tonsillectomy or adrenotonsillectomy Watchful waiting with or without analgesics and antibiotics","Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis","Tonsillectomy or adrenotonsillectomy","Watchful waiting with or without analgesics and antibiotics","Sore throat days (including those immediately post surgery) children","MD",5,0,-0.295572722832455,0.000943605350207544,2,0.399811278929958,3.58898799497359
"11","CD001802.PUB3 Sore throat days(including those immediately post_surgery adults Tonsillectomy or adrenotonsillectomy Watchful waiting with or without analgesics and antibiotics","Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis","Tonsillectomy or adrenotonsillectomy","Watchful waiting with or without analgesics and antibiotics","Sore throat days(including those immediately post_surgery adults","MD",2,0,-0.834690893183247,6.29885426040033e-08,2,0.999999968505729,6.16441379860716
"12","CD001923.PUB2 Perioperative stroke or death, or stroke of any territory or type during follow up Carotid endarterectomy and Aspirin 325 mg daily Aspirin 325 mg daily","Carotid endarterectomy for asymptomatic carotid stenosis","Carotid endarterectomy and Aspirin 325 mg daily","Aspirin 325 mg daily","Perioperative stroke or death, or stroke of any territory or type during follow up","RR",2,0,1.04857665614904,1.5576549465806,2,0.221172526709702,1.11071402165565
"13","CD002784.PUB3 Limb salvage at 30 days Surgery including primary amputation Thrombolysis (w/ rt-Pa or urokinase)","Surgery versus thrombolysis for initial management of acute limb ischaemia","Surgery including primary amputation","Thrombolysis (w/ rt-Pa or urokinase)","Limb salvage at 30 days","OR",3,0.154471670647116,-0.17882530918976,0.203296265429145,0,-0.067765421809715,-0.935904670382285
"14","CD003037.PUB2 Abortion not completeted with intended method Suction aspiration Vaginal suppositories or im inj. of 9-methylene-PGE2","Medical versus surgical methods for first trimester termination of pregnancy","Suction aspiration","Vaginal suppositories or im inj. of 9-methylene-PGE2","Abortion not completeted with intended method","OR",2,0,-0.54146182953617,0.00539027638147882,1,0.497304861809261,2.9024972144559
"15","CD003037.PUB2 Ongoing pregnancy Suction aspiration Vaginal suppositories or im inj. of 9-methylene-PGE2","Medical versus surgical methods for first trimester termination of pregnancy","Suction aspiration","Vaginal suppositories or im inj. of 9-methylene-PGE2","Ongoing pregnancy","OR",2,0,-0.885722510780685,0.00170125507417296,1,0.499149372462914,2.91446598003696
"16","CD003243.PUB3 GORD_specific quality of life (<1 y) Laparoscopic fundoplication Protein pump inhibitors","Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults","Laparoscopic fundoplication","Protein pump inhibitors","GORD_specific quality of life (<1 y)","SMD",4,0.0108401169512479,0.58244900120417,3.6395413644949,4,0.0901146588762738,0.368117356202704
"17","CD003243.PUB3 GORD_specific quality of life (1-5 y) Laparoscopic fundoplication Protein pump inhibitors","Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults","Laparoscopic fundoplication","Protein pump inhibitors","GORD_specific quality of life (1-5 y)","SMD",3,0.221114285979515,0.342887941522273,1.68195740289266,1,-0.227319134297553,-2.20390899966225
"18","CD003243.PUB3 Health_related quality of life (<1 y) Laparoscopic fundoplication Protein pump inhibitors","Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults","Laparoscopic fundoplication","Protein pump inhibitors","Health_related quality of life (<1 y)","SMD",3,0.0418726135128584,0.137447183015763,0.79808078823551,1,0.0673064039214965,0.137537351870757
"19","CD003243.PUB3 Health_related quality of life (1-5 y) Laparoscopic fundoplication Protein pump inhibitors","Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults","Laparoscopic fundoplication","Protein pump inhibitors","Health_related quality of life (1-5 y)","SMD",2,0.0697993769772427,0.0090631816384576,0.312102444757275,0,-0.156051222378637,-1.33703688479973
"20","CD003243.PUB3 Serious adverse events Laparoscopic fundoplication Protein pump inhibitors","Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults","Laparoscopic fundoplication","Protein pump inhibitors","Serious adverse events","RR",2,0,0.248147503130808,0.548617739644437,1,0.225691130177782,1.14003459270038
"21","CD003412.PUB3 Observer‐rated good/excellent cosmetic outcome Surgical excision MAL-PDT","Interventions for basal cell carcinoma of the skin","Surgical excision","MAL-PDT","Observer‐rated good/excellent cosmetic outcome","RR",2,0.216939982985109,-0.47985165917999,0.0578877449268994,0,-0.0289438724634497,-0.512255487223459
"22","CD003412.PUB3 Patient‐rated good/excellent cosmetic outcome Surgical excision MAL-PDT","Interventions for basal cell carcinoma of the skin","Surgical excision","MAL-PDT","Patient‐rated good/excellent cosmetic outcome","RR",2,0.00551249520601424,-0.842650505850049,4.22043039405295e-08,0,-2.11021519702648e-08,-0.324442979190368
"23","CD003431.PUB3 NON _ Healing (persistence or recurrence) 2 mo Lateral internal sphincterotomy Medical therapy (mainly GTN and Botox)","Non surgical therapy for anal fissure","Lateral internal sphincterotomy","Medical therapy (mainly GTN and Botox)","NON _ Healing (persistence or recurrence) 2 mo","OR",15,0.297666251166117,-1.16024799046971,0.0342791175059511,10,0.66438139216627,10.9178438449728
